DZcode,IMD_population
S01006506,894
S01006507,793
S01006508,624
S01006509,537
S01006510,663
S01006511,759
S01006512,539
S01006513,788
S01006514,1123
S01006515,816
S01006516,629
S01006517,1052
S01006518,664
S01006519,941
S01006520,875
S01006521,793
S01006522,675
S01006523,957
S01006524,1056
S01006525,904
S01006526,924
S01006527,756
S01006528,1154
S01006529,932
S01006530,785
S01006531,946
S01006532,793
S01006533,717
S01006534,956
S01006535,1046
S01006536,1003
S01006537,920
S01006538,548
S01006539,781
S01006540,933
S01006541,864
S01006542,1131
S01006543,792
S01006544,1283
S01006545,1120
S01006546,624
S01006547,1242
S01006548,658
S01006549,796
S01006550,900
S01006551,704
S01006552,884
S01006553,903
S01006554,777
S01006555,732
S01006556,804
S01006557,679
S01006558,596
S01006559,601
S01006560,1018
S01006561,728
S01006562,972
S01006563,677
S01006564,1007
S01006565,1000
S01006566,761
S01006567,744
S01006568,921
S01006569,561
S01006570,739
S01006571,911
S01006572,957
S01006573,790
S01006574,1017
S01006575,981
S01006576,730
S01006577,814
S01006578,1105
S01006579,1048
S01006580,724
S01006581,949
S01006582,820
S01006583,695
S01006584,612
S01006585,831
S01006586,1049
S01006587,571
S01006588,626
S01006589,680
S01006590,801
S01006591,744
S01006592,742
S01006593,837
S01006594,534
S01006595,956
S01006596,784
S01006597,530
S01006598,1017
S01006599,812
S01006600,1238
S01006601,1038
S01006602,896
S01006603,803
S01006604,653
S01006605,781
S01006606,794
S01006607,919
S01006608,1653
S01006609,1054
S01006610,431
S01006611,906
S01006612,858
S01006613,591
S01006614,669
S01006615,838
S01006616,747
S01006617,635
S01006618,474
S01006619,869
S01006620,786
S01006621,504
S01006622,663
S01006623,719
S01006624,771
S01006625,621
S01006626,683
S01006627,818
S01006628,1055
S01006629,872
S01006630,652
S01006631,1047
S01006632,826
S01006633,660
S01006634,624
S01006635,627
S01006636,798
S01006637,772
S01006638,779
S01006639,924
S01006640,822
S01006641,1044
S01006642,1299
S01006643,698
S01006644,1139
S01006645,688
S01006646,861
S01006647,625
S01006648,1751
S01006649,954
S01006650,801
S01006651,677
S01006652,744
S01006653,545
S01006654,877
S01006655,809
S01006656,980
S01006657,525
S01006658,1204
S01006659,603
S01006660,505
S01006661,592
S01006662,893
S01006663,568
S01006664,578
S01006665,773
S01006666,1001
S01006667,750
S01006668,902
S01006669,965
S01006670,857
S01006671,2029
S01006672,801
S01006673,862
S01006674,913
S01006675,915
S01006676,734
S01006677,724
S01006678,1690
S01006679,614
S01006680,891
S01006681,773
S01006682,940
S01006683,930
S01006684,703
S01006685,671
S01006686,593
S01006687,735
S01006688,915
S01006689,931
S01006690,583
S01006691,623
S01006692,754
S01006693,960
S01006694,896
S01006695,732
S01006696,804
S01006697,917
S01006698,783
S01006699,500
S01006700,833
S01006701,672
S01006702,780
S01006703,658
S01006704,552
S01006705,754
S01006706,608
S01006707,693
S01006708,792
S01006709,913
S01006710,811
S01006711,943
S01006712,505
S01006713,950
S01006714,731
S01006715,610
S01006716,594
S01006717,967
S01006718,603
S01006719,898
S01006720,568
S01006721,942
S01006722,692
S01006723,654
S01006724,987
S01006725,651
S01006726,877
S01006727,1083
S01006728,765
S01006729,874
S01006730,766
S01006731,534
S01006732,1089
S01006733,955
S01006734,996
S01006735,578
S01006736,1126
S01006737,905
S01006738,909
S01006739,1226
S01006740,766
S01006741,659
S01006742,460
S01006743,728
S01006744,638
S01006745,847
S01006746,832
S01006747,1029
S01006748,1193
S01006749,883
S01006750,672
S01006751,476
S01006752,709
S01006753,868
S01006754,841
S01006755,812
S01006756,774
S01006757,920
S01006758,663
S01006759,592
S01006760,439
S01006761,674
S01006762,1061
S01006763,840
S01006764,708
S01006765,536
S01006766,593
S01006767,654
S01006768,620
S01006769,922
S01006770,593
S01006771,435
S01006772,852
S01006773,875
S01006774,603
S01006775,717
S01006776,513
S01006777,650
S01006778,597
S01006779,589
S01006780,566
S01006781,674
S01006782,795
S01006783,613
S01006784,580
S01006785,576
S01006786,801
S01006787,626
S01006788,1537
S01006789,562
S01006790,894
S01006791,570
S01006792,444
S01006793,600
S01006794,564
S01006795,770
S01006796,890
S01006797,666
S01006798,660
S01006799,907
S01006800,868
S01006801,991
S01006802,754
S01006803,645
S01006804,778
S01006805,1153
S01006806,1032
S01006807,588
S01006808,695
S01006809,888
S01006810,876
S01006811,1157
S01006812,893
S01006813,845
S01006814,767
S01006815,599
S01006816,762
S01006817,760
S01006818,763
S01006819,895
S01006820,408
S01006821,1389
S01006822,939
S01006823,717
S01006824,798
S01006825,750
S01006826,890
S01006827,907
S01006828,840
S01006829,426
S01006830,757
S01006831,503
S01006832,982
S01006833,472
S01006834,495
S01006835,765
S01006836,535
S01006837,569
S01006838,591
S01006839,990
S01006840,1108
S01006841,872
S01006842,753
S01006843,803
S01006844,597
S01006845,895
S01006846,532
S01006847,714
S01006848,1625
S01006849,1988
S01006850,911
S01006851,773
S01006852,582
S01006853,929
S01006854,843
S01006855,796
S01006856,715
S01006857,1214
S01006858,611
S01006859,981
S01006860,569
S01006861,634
S01006862,675
S01006863,656
S01006864,590
S01006865,971
S01006866,511
S01006867,706
S01006868,821
S01006869,498
S01006870,476
S01006871,725
S01006872,918
S01006873,1068
S01006874,598
S01006875,710
S01006876,959
S01006877,920
S01006878,741
S01006879,748
S01006880,700
S01006881,556
S01006882,392
S01006883,466
S01006884,835
S01006885,879
S01006886,895
S01006887,669
S01006888,811
S01006889,794
S01006890,618
S01006891,1032
S01006892,584
S01006893,526
S01006894,958
S01006895,561
S01006896,790
S01006897,691
S01006898,813
S01006899,598
S01006900,541
S01006901,518
S01006902,643
S01006903,779
S01006904,769
S01006905,851
S01006906,777
S01006907,712
S01006908,807
S01006909,1218
S01006910,941
S01006911,811
S01006912,617
S01006913,1209
S01006914,720
S01006915,849
S01006916,576
S01006917,1094
S01006918,493
S01006919,448
S01006920,464
S01006921,817
S01006922,685
S01006923,805
S01006924,567
S01006925,461
S01006926,766
S01006927,1160
S01006928,1030
S01006929,829
S01006930,854
S01006931,395
S01006932,1340
S01006933,532
S01006934,1093
S01006935,690
S01006936,570
S01006937,669
S01006938,502
S01006939,589
S01006940,868
S01006941,627
S01006942,1003
S01006943,666
S01006944,1213
S01006945,460
S01006946,743
S01006947,849
S01006948,853
S01006949,726
S01006950,630
S01006951,429
S01006952,813
S01006953,791
S01006954,820
S01006955,610
S01006956,1116
S01006957,1116
S01006958,1270
S01006959,698
S01006960,1014
S01006961,974
S01006962,842
S01006963,635
S01006964,660
S01006965,500
S01006966,558
S01006967,604
S01006968,474
S01006969,841
S01006970,636
S01006971,480
S01006972,639
