LSOA11CD,Income_Deprived_Count
W01000001,160
W01000002,165
W01000003,600
W01000004,155
W01000005,260
W01000006,165
W01000007,195
W01000008,110
W01000009,310
W01000010,175
W01000011,100
W01000012,160
W01000013,115
W01000014,310
W01000015,115
W01000016,430
W01000017,420
W01000018,220
W01000019,145
W01000020,95
W01000021,280
W01000022,220
W01000023,220
W01000024,200
W01000025,225
W01000026,155
W01000027,230
W01000028,300
W01000029,405
W01000030,645
W01000031,225
W01000032,150
W01000033,455
W01000034,160
W01000035,220
W01000036,300
W01000037,200
W01000038,365
W01000039,85
W01000040,100
W01000041,485
W01000042,245
W01000043,240
W01000044,70
W01000047,125
W01000048,205
W01000049,150
W01000050,195
W01000051,285
W01000052,75
W01000053,75
W01000054,95
W01000056,360
W01000057,115
W01000059,545
W01000060,145
W01000061,210
W01000062,170
W01000063,355
W01000064,285
W01000065,205
W01000066,140
W01000067,105
W01000068,185
W01000069,150
W01000070,135
W01000071,385
W01000072,205
W01000073,150
W01000074,230
W01000075,235
W01000076,115
W01000077,190
W01000078,300
W01000079,115
W01000080,220
W01000081,280
W01000082,115
W01000083,100
W01000084,85
W01000085,320
W01000086,340
W01000087,190
W01000088,250
W01000089,170
W01000090,430
W01000091,360
W01000092,100
W01000093,190
W01000094,140
W01000095,175
W01000096,240
W01000097,200
W01000098,815
W01000099,190
W01000100,105
W01000101,155
W01000102,80
W01000103,165
W01000104,335
W01000105,210
W01000106,120
W01000107,150
W01000108,345
W01000109,340
W01000110,210
W01000111,275
W01000112,380
W01000113,305
W01000114,170
W01000115,230
W01000116,170
W01000117,285
W01000118,205
W01000119,190
W01000121,95
W01000122,180
W01000123,275
W01000124,160
W01000125,155
W01000126,190
W01000127,415
W01000128,215
W01000129,255
W01000130,140
W01000131,185
W01000132,285
W01000133,155
W01000134,340
W01000135,120
W01000136,275
W01000137,110
W01000138,365
W01000139,165
W01000140,340
W01000141,160
W01000142,75
W01000143,335
W01000144,600
W01000145,260
W01000146,350
W01000147,210
W01000148,170
W01000149,365
W01000150,255
W01000151,345
W01000152,285
W01000153,165
W01000154,95
W01000155,150
W01000156,195
W01000157,345
W01000158,170
W01000159,120
W01000162,175
W01000163,495
W01000164,170
W01000165,110
W01000166,355
W01000167,410
W01000168,390
W01000169,360
W01000170,220
W01000171,260
W01000172,295
W01000173,85
W01000174,90
W01000175,80
W01000176,320
W01000177,165
W01000178,565
W01000179,135
W01000180,80
W01000181,100
W01000182,560
W01000183,210
W01000184,515
W01000185,150
W01000186,420
W01000187,595
W01000188,185
W01000189,125
W01000190,105
W01000191,295
W01000192,110
W01000193,195
W01000194,375
W01000195,70
W01000196,95
W01000197,150
W01000198,440
W01000199,325
W01000200,130
W01000201,310
W01000202,105
W01000203,150
W01000204,70
W01000205,95
W01000206,150
W01000207,145
W01000208,130
W01000209,225
W01000210,135
W01000211,125
W01000212,210
W01000213,365
W01000214,255
W01000215,90
W01000216,320
W01000217,415
W01000218,310
W01000219,510
W01000220,260
W01000221,295
W01000222,295
W01000223,115
W01000224,200
W01000225,225
W01000226,400
W01000227,290
W01000228,430
W01000229,355
W01000230,245
W01000231,255
W01000232,270
W01000233,240
W01000234,520
W01000235,145
W01000236,745
W01000237,820
W01000238,340
W01000239,775
W01000240,955
W01000241,675
W01000242,300
W01000243,245
W01000244,80
W01000245,185
W01000246,235
W01000247,195
W01000248,115
W01000249,60
W01000250,90
W01000251,255
W01000252,105
W01000253,300
W01000254,470
W01000255,235
W01000256,195
W01000257,90
W01000258,205
W01000259,305
W01000260,150
W01000261,120
W01000262,280
W01000263,370
W01000264,140
W01000265,105
W01000266,120
W01000267,150
W01000268,65
W01000269,205
W01000270,45
W01000271,125
W01000272,95
W01000273,300
W01000274,455
W01000275,105
W01000276,135
W01000277,130
W01000278,440
W01000279,115
W01000280,145
W01000281,125
W01000282,80
W01000283,225
W01000284,80
W01000285,50
W01000286,100
W01000287,350
W01000288,510
W01000289,105
W01000290,315
W01000291,180
W01000292,355
W01000293,260
W01000294,125
W01000295,145
W01000296,440
W01000297,180
W01000298,330
W01000299,120
W01000300,110
W01000301,120
W01000302,130
W01000303,65
W01000304,660
