nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_E_score,original_decile,E_expanded_decile,GB_IMD_E_rank,GB_IMD_E_pop_decile,GB_IMD_E_pop_quintile
E,E01021988,92.735,56.9,53.4,92.735,1,1,1,1,1
W,W01000240,86.6,61,43,90.32499789,1,1,2,1,1
E,E01012673,88.774,60.9,45.9,88.774,1,1,3,1,1
E,E01012681,88.408,49.9,46.4,88.408,1,1,4,1,1
E,E01012672,88.139,47.4,39.6,88.139,1,1,5,1,1
E,E01012671,88.026,46.9,39.4,88.026,1,1,6,1,1
E,E01012751,88.023,54.9,45.1,88.023,1,1,7,1,1
E,E01012737,87.371,50.2,42.2,87.371,1,1,8,1,1
E,E01012670,87.112,54.3,39.2,87.112,1,1,9,1,1
E,E01012682,86.803,53.9,39.8,86.803,1,1,10,1,1
E,E01006547,84.368,45.5,36.8,84.368,1,1,11,1,1
E,E01012683,84.357,52,44.5,84.357,1,1,12,1,1
E,E01012674,83.919,46.1,37.4,83.919,1,1,13,1,1
E,E01006558,83.903,46.2,40.1,83.903,1,1,14,1,1
E,E01022025,83.878,46.3,49.2,83.878,1,1,15,1,1
E,E01024858,83.799,47.6,35.3,83.799,1,1,16,1,1
S,S01007465,86.05619961,47,35,83.74413411,1,1,17,1,1
W,W01000239,80.3,50,35,83.43082687,1,1,18,1,1
S,S01010891,89.20058603,48,44,83.38506334,1,1,19,1,1
S,S01010122,86.28746532,46,37,83.35038237,1,1,20,1,1
S,S01012068,87.51609178,50,39,83.0612666,1,1,21,1,1
W,W01001421,79.8,47,34,82.9608989,1,1,22,1,1
E,E01012679,82.897,48.7,34.3,82.897,1,1,23,1,1
S,S01007801,83.72270865,46,31,82.82827876,1,1,24,1,1
S,S01010245,88.56904062,51,42,82.79030064,1,1,25,1,1
E,E01024908,82.749,44,31.4,82.749,1,1,26,1,1
S,S01011598,88.10305197,45,44,82.67881359,1,1,27,1,1
E,E01006611,82.675,51,37.3,82.675,1,1,28,1,1
E,E01007122,82.666,54.9,41.4,82.666,1,1,29,1,1
S,S01010644,84.77049347,46,35,82.32282152,1,1,30,1,1
E,E01012675,82.236,51,35.7,82.236,1,1,31,1,1
E,E01012897,82.194,49.7,36.4,82.194,1,1,32,1,1
S,S01010326,83.10562442,45,32,81.80489289,1,1,33,1,1
E,E01013139,81.738,49.5,37.1,81.738,1,1,34,1,1
E,E01013138,81.548,47.6,35.8,81.548,1,1,35,1,1
S,S01012067,84.46136598,48,35,81.45182158,1,1,36,1,1
E,E01026383,81.3,45.3,36.7,81.3,1,1,37,1,1
S,S01012492,83.21439319,42,35,81.26161753,1,1,38,1,1
S,S01010114,82.82911321,44,33,81.22057768,1,1,39,1,1
E,E01030258,81.147,43.9,38.1,81.147,1,1,40,1,1
E,E01007127,81.054,50.4,38.2,81.054,1,1,41,1,1
E,E01006874,81,51.3,41.1,81,1,1,42,1,1
S,S01010862,82.83404281,43,35,80.53503083,1,1,43,1,1
S,S01009975,82.86943738,46,34,80.33602646,1,1,44,1,1
E,E01012736,80.117,42.4,38.7,80.117,1,1,45,1,1
W,W01000991,77.5,46,30,79.97088231,1,1,46,1,1
W,W01001274,77.8,47,29,79.94887492,1,1,47,1,1
E,E01012622,79.94,48.1,37.9,79.94,1,1,48,1,1
S,S01007963,81.08993564,46,30,79.89814581,1,1,49,1,1
E,E01006540,79.58,44.6,34.6,79.58,1,1,50,1,1
S,S01008787,83.70380944,43,40,79.33600211,1,1,51,1,1
E,E01005482,79.3,51.2,44.9,79.3,1,1,52,1,1
E,E01008427,79.298,49.4,40.4,79.298,1,1,53,1,1
S,S01012489,82.1742354,45,35,79.21193029,1,1,54,1,1
E,E01025117,79.13,42.3,34,79.13,1,1,55,1,1
S,S01010499,80.04437806,42,31,79.03107097,1,1,56,1,1
E,E01006760,79.006,38.8,35.9,79.006,1,1,57,1,1
E,E01012655,78.945,53.5,45,78.945,1,1,58,1,1
E,E01028276,78.837,45.5,37.3,78.837,1,1,59,1,1
E,E01006562,78.655,42.2,32.2,78.655,1,1,60,1,1
S,S01010054,78.62082752,40,29,78.59641916,1,1,61,1,1
E,E01011372,78.577,45,31.3,78.577,1,1,62,1,1
S,S01011609,78.60205444,40,29,78.57221669,1,1,63,1,1
S,S01009622,84.9847054,52,41,78.3971681,1,1,64,1,1
E,E01026625,78.389,47.7,37.4,78.389,1,1,65,1,1
E,E01012855,78.371,46.3,38,78.371,1,1,66,1,1
E,E01012895,78.352,48.3,30.6,78.352,1,1,67,1,1
E,E01012889,78.298,46.5,35.7,78.298,1,1,68,1,1
S,S01010129,79.25801638,45,29,78.23671736,1,1,69,1,1
E,E01006563,78.172,49.1,38,78.172,1,1,70,1,1
E,E01012948,78.1,44.4,40.2,78.1,1,1,71,1,1
E,E01008978,78.083,55.8,47.7,78.083,1,1,72,1,1
E,E01012090,78.009,51.4,42.9,78.009,1,1,73,1,1
E,E01012058,77.977,48.9,36.1,77.977,1,1,74,1,1
S,S01010493,79.74594122,45,31,77.93761892,1,1,75,1,1
S,S01008569,80.25848368,38,36,77.93169494,1,1,76,1,1
E,E01024609,77.896,43.9,33.6,77.896,1,1,77,1,1
S,S01008007,79.5282806,44,31,77.89324295,1,1,78,1,1
E,E01005202,77.768,47.3,32,77.768,1,1,79,1,1
E,E01004960,77.703,54.5,39.2,77.703,1,1,80,1,1
E,E01012041,77.591,57.8,44.2,77.591,1,1,81,1,1
E,E01012721,77.561,51.7,44.5,77.561,1,1,82,1,1
E,E01013136,77.552,50.3,43,77.552,1,1,83,1,1
S,S01009126,77.2573627,37,29,77.54732842,1,1,84,1,1
E,E01007005,77.512,44.5,37.7,77.512,1,1,85,1,1
E,E01007532,77.257,40.9,35.9,77.257,1,1,86,1,1
E,E01033228,77.148,48.8,36.1,77.148,1,1,87,1,1
E,E01007007,77.125,51,47.4,77.125,1,1,88,1,1
E,E01005918,77.101,47.8,42.4,77.101,1,1,89,1,1
E,E01012738,77.09,37.9,33,77.09,1,1,90,1,1
E,E01011662,77.034,43.1,31.7,77.034,1,1,91,1,1
E,E01024906,77.026,36.9,30.7,77.026,1,1,92,1,1
E,E01012114,76.969,50,37.4,76.969,1,1,93,1,1
S,S01010118,76.6092886,40,27,76.93125674,1,1,94,1,1
E,E01007544,76.898,43.2,35.8,76.898,1,1,95,1,1
W,W01001428,73.7,43,31,76.86474238,1,1,96,1,1
W,W01001209,74.8,45,27,76.8338029,1,1,97,1,1
E,E01030247,76.806,48.6,41.2,76.806,1,1,98,1,1
E,E01004823,76.792,47.5,38.7,76.792,1,1,99,1,1
S,S01007853,80.39876772,42,37,76.70354394,1,1,100,1,1
S,S01010047,79.50102658,45,33,76.69373539,1,1,101,1,1
E,E01006494,76.636,53.6,36.7,76.636,1,1,102,1,1
E,E01024676,76.553,40,32.3,76.553,1,1,103,1,1
S,S01010207,82.57476322,49,40,76.46301505,1,1,104,1,1
E,E01013208,76.316,50,33,76.316,1,1,105,1,1
S,S01008929,79.90842716,43,36,76.299225,1,1,106,1,1
E,E01005754,76.234,48.1,37.4,76.234,1,1,107,1,1
E,E01009379,76.225,46.4,35,76.225,1,1,108,1,1
E,E01007003,76.196,43.5,33.9,76.196,1,1,109,1,1
S,S01010121,76.55816385,41,28,76.16504314,1,1,110,1,1
E,E01032332,76.145,43.8,32.6,76.145,1,1,111,1,1
E,E01007274,76.106,49.3,38.9,76.106,1,1,112,1,1
S,S01013395,76.77292599,41,29,75.97784859,1,1,113,1,1
E,E01033477,75.941,45,34.5,75.941,1,1,114,1,1
W,W01001308,74.4,46,25,75.92834035,1,1,115,1,1
E,E01010730,75.905,43.5,36.5,75.905,1,1,116,1,1
E,E01008304,75.897,45.3,37.4,75.897,1,1,117,1,1
E,E01006386,75.885,44.8,35.8,75.885,1,1,118,1,1
E,E01013140,75.879,43.9,29.9,75.879,1,1,119,1,1
S,S01013075,77.22737656,40,31,75.87182936,1,1,120,1,1
E,E01033679,75.863,45,34.4,75.863,1,1,121,1,1
E,E01007128,75.862,49.8,41.9,75.862,1,1,122,1,1
E,E01010612,75.825,45.8,32.9,75.825,1,1,123,1,1
S,S01009977,80.25109127,45,37,75.80445393,1,1,124,1,1
E,E01006493,75.8,55.9,37,75.8,1,1,125,1,1
S,S01010344,78.053546,41,33,75.77256517,1,1,126,1,1
E,E01010819,75.768,46.3,31.8,75.768,1,1,127,1,1
E,E01007129,75.76,43.1,40.1,75.76,1,1,128,1,1
E,E01010711,75.65,39,36,75.65,1,1,129,1,1
E,E01005350,75.624,53.2,42.8,75.624,1,1,130,1,1
E,E01012720,75.616,46.7,35.8,75.616,1,1,131,1,1
E,E01011368,75.543,39.9,34.3,75.543,1,1,132,1,1
S,S01009843,76.97627259,42,30,75.53970238,1,1,133,1,1
E,E01006448,75.522,51.9,34.6,75.522,1,1,134,1,1
S,S01009976,78.03081004,44,32,75.49861826,1,1,135,1,1
E,E01005756,75.498,43.8,34.9,75.498,1,1,136,1,1
E,E01014726,75.488,40.8,31.2,75.488,1,1,137,1,1
S,S01010312,79.43389821,46,35,75.44282135,1,1,138,1,1
S,S01007872,77.24879505,44,30,75.41857226,1,1,139,1,1
S,S01010893,82.41852292,49,42,75.3334515,1,1,140,1,1
E,E01012724,75.331,47.6,39.3,75.331,1,1,141,1,1
E,E01005682,75.302,46.9,42.9,75.302,1,1,142,1,1
E,E01009709,75.274,44.4,34.1,75.274,1,1,143,1,1
E,E01007273,75.265,45.8,35.4,75.265,1,1,144,1,1
E,E01025584,75.224,41.5,44.4,75.224,1,1,145,1,1
E,E01006413,75.149,46.2,40.6,75.149,1,1,146,1,1
E,E01006873,75.142,43.5,34.9,75.142,1,1,147,1,1
E,E01019143,75.081,38,32.9,75.081,1,1,148,1,1
E,E01005203,75.035,44.4,33.1,75.035,1,1,149,1,1
E,E01012944,75.033,38,35.5,75.033,1,1,150,1,1
E,E01007133,75.014,58.1,50.8,75.014,1,1,151,1,1
E,E01006417,74.948,41.8,38.6,74.948,1,1,152.5,1,1
E,E01013137,74.948,41.2,34.6,74.948,1,1,152.5,1,1
E,E01006695,74.929,41.7,37.2,74.929,1,1,154,1,1
S,S01012501,75.17653466,37,29,74.8647009,1,1,155,1,1
E,E01006467,74.863,42.7,37.4,74.863,1,1,156,1,1
S,S01010163,75.8875268,39,30,74.84478257,1,1,157,1,1
E,E01008011,74.795,45.7,33.9,74.795,1,1,158,1,1
S,S01010336,76.38315235,38,32,74.7918466,1,1,159,1,1
E,E01007006,74.774,41.4,32.9,74.774,1,1,160,1,1
S,S01010111,76.01816726,42,29,74.76857031,1,1,161,1,1
E,E01012089,74.736,51.6,34.7,74.736,1,1,162,1,1
E,E01012735,74.73,36.5,37.9,74.73,1,1,163,1,1
E,E01011994,74.719,47.5,36,74.719,1,1,164,1,1
S,S01011383,76.3132402,36,33,74.71011589,1,1,165,1,1
W,W01000413,73.4,47,24,74.68844808,1,1,166,1,1
S,S01007812,75.20127126,42,27,74.64355533,1,1,167,1,1
